,Bruno Silva,Victor Krebs,Ico,Menegoto,David Rosa,Conan,Rodrigo Almeida,João Gil,Longa,Davi,Roberto,Matheus,Pedrinho,Cristófer,Lucas,João Vitor
Bruno Silva,,,,,,,,,,,,,,,,
Victor Krebs,,,,,,,,,,,,,,,,
Ico,,,,,,,,,,,,,,,,
Menegoto,,,,,,,,,,,,,,,,
David Rosa,,,,,,,,,,,,,,,,
Conan,,,,,,,,,,,,,,,,
Rodrigo Almeida,,,,,,,,,,,,,,,,
João Gil,,,,,,,,,,,,,,,,
Longa,,,,,,,,2-6; 3-6,,,,,,,,
Davi ,,,,,,,,,,,,,,,,
Roberto,,,,,,,,3-6; 6-1; 10-8,,,,,,,,
Matheus,,,,,6-0; 6-0,,,,,,,,,,,
Pedrinho,,,,,,6-3; 6-7; 4-10,6-2; 6-4,,,,,,,,,
Cristófer,,,1-6; 2-6,,,,,,,,,,,,,
Lucas,,,,,,,,,,,,,,,,
João Vitor,,,,,,,,,,,,,,,,
